nombre,fecha_desde,cupon_pct
Argentina Bonar 2027 (AO27),2026-02-27,6.00
Argentina Bonar 2028 (AO28),2026-03-31,6.00
Argentina Bonar 2029 (AN29),2025-12-12,6.50
Argentina Bonar 2029 (AL29),2020-09-04,1.00
Argentina Bonar 2030 (AL30),2020-09-04,0.125
Argentina Bonar 2030 (AL30),2021-07-09,0.50
Argentina Bonar 2030 (AL30),2023-07-09,0.75
Argentina Bonar 2030 (AL30),2027-07-09,1.75
Argentina Bonar 2035 (AL35),2020-09-04,0.125
Argentina Bonar 2035 (AL35),2021-07-09,1.125
Argentina Bonar 2035 (AL35),2022-07-09,1.50
Argentina Bonar 2035 (AL35),2023-07-09,3.625
Argentina Bonar 2035 (AL35),2024-07-09,4.125
Argentina Bonar 2035 (AL35),2027-07-09,4.75
Argentina Bonar 2035 (AL35),2028-07-09,5.00
Argentina Bonar 2038 (AE38),2020-09-04,0.125
Argentina Bonar 2038 (AE38),2021-07-09,2.00
Argentina Bonar 2038 (AE38),2022-07-09,3.875
Argentina Bonar 2038 (AE38),2023-07-09,4.25
Argentina Bonar 2038 (AE38),2024-07-09,5.00
Argentina Bonar 2041 (AL41),2020-09-04,0.125
Argentina Bonar 2041 (AL41),2021-07-09,2.50
Argentina Bonar 2041 (AL41),2022-07-09,3.50
Argentina Bonar 2041 (AL41),2029-07-09,4.875
Argentina Global 2029 (GD29),2020-09-04,1.00
Argentina Global 2030 (GD30),2020-09-04,0.125
Argentina Global 2030 (GD30),2021-07-09,0.50
Argentina Global 2030 (GD30),2023-07-09,0.75
Argentina Global 2030 (GD30),2027-07-09,1.75
Argentina Global 2035 (GD35),2020-09-04,0.125
Argentina Global 2035 (GD35),2021-07-09,1.125
Argentina Global 2035 (GD35),2022-07-09,1.50
Argentina Global 2035 (GD35),2023-07-09,3.625
Argentina Global 2035 (GD35),2024-07-09,4.125
Argentina Global 2035 (GD35),2027-07-09,4.75
Argentina Global 2035 (GD35),2028-07-09,5.00
Argentina Global 2038 (GD38),2020-09-04,0.125
Argentina Global 2038 (GD38),2021-07-09,2.00
Argentina Global 2038 (GD38),2022-07-09,3.875
Argentina Global 2038 (GD38),2023-07-09,4.25
Argentina Global 2038 (GD38),2024-07-09,5.00
Argentina Global 2041 (GD41),2020-09-04,0.125
Argentina Global 2041 (GD41),2021-07-09,2.50
Argentina Global 2041 (GD41),2022-07-09,3.50
Argentina Global 2041 (GD41),2029-07-09,4.875
Argentina Global 2046 (GD46),2020-09-04,0.125
Argentina Global 2046 (GD46),2021-07-09,1.125
Argentina Global 2046 (GD46),2022-07-09,1.50
Argentina Global 2046 (GD46),2023-07-09,3.625
Argentina Global 2046 (GD46),2024-07-09,4.125
Argentina Global 2046 (GD46),2027-07-09,4.375
Argentina Global 2046 (GD46),2028-07-09,5.00
BOPREAL Serie 1 Clase A (BPOA7),2023-12-26,5.00
BOPREAL Serie 1 Clase B (BPOB7),2023-12-26,5.00
BOPREAL Serie 1 Clase C (BPOC7),2023-12-26,5.00
BOPREAL Serie 1 Clase D (BPOD7),2023-12-26,5.00
BOPREAL Serie 4 Clase A (BPOA8),2025-06-18,3.00
BOPREAL Serie 4 Clase B (BPOB8),2025-06-18,3.00
