nombre,isin,codigo,categoria,maturity,face,freq,coupon_anchor
Argentina Bonar 2027 (AO27),AR0676997536,AO27,Bonar,2027-10-29,100.0,12,
Argentina Bonar 2028 (AO28),AR0474258297,AO28,Bonar,2028-10-31,100.0,12,
Argentina Bonar 2029 (AN29),AR0963787574,AN29,Bonar,2029-11-30,100.0,2,
Argentina Bonar 2029 (AO29),AR0550263393,AO29,Bonar,2029-10-31,100.0,12,
Argentina Bonar 2029 (AL29),ARARGE3209Y4,AL29,Bonar,2029-07-10,100.0,2,2029-07-09
Argentina Bonar 2030 (AL30),ARARGE3209S6,AL30,Bonar,2030-07-09,100.0,2,
Argentina Bonar 2035 (AL35),ARARGE3209T4,AL35,Bonar,2035-07-09,100.0,2,
Argentina Bonar 2038 (AE38),ARARGE3209U2,AE38,Bonar,2038-01-11,100.0,2,2038-01-09
Argentina Bonar 2041 (AL41),ARARGE3209V0,AL41,Bonar,2041-07-09,100.0,2,
Argentina Global 2029 (GD29),US040114HX11,GD29,Global,2029-07-10,100.0,2,2029-07-09
Argentina Global 2030 (GD30),US040114HS26,GD30,Global,2030-07-09,100.0,2,
Argentina Global 2035 (GD35),US040114HT09,GD35,Global,2035-07-09,100.0,2,
Argentina Global 2038 (GD38),US040114HU71,GD38,Global,2038-01-11,100.0,2,2038-01-09
Argentina Global 2041 (GD41),US040114HV54,GD41,Global,2041-07-09,100.0,2,
Argentina Global 2046 (GD46),US040114HW38,GD46,Global,2046-07-09,100.0,2,
BOPREAL Serie 1 Clase A (BPOA7),AR0684877571,BPOA7,Bopreal,2027-10-31,100.0,2,
BOPREAL Serie 1 Clase B (BPOB7),AR0772251226,BPOB7,Bopreal,2027-10-31,100.0,2,
BOPREAL Serie 1 Clase C (BPOC7),AR0763285209,BPOC7,Bopreal,2027-10-31,100.0,2,
BOPREAL Serie 1 Clase D (BPOD7),AR0314171247,BPOD7,Bopreal,2027-10-31,100.0,2,
BOPREAL Serie 4 Clase A (BPOA8),AR0029227748,BPOA8,Bopreal,2028-10-31,100.0,2,
BOPREAL Serie 4 Clase B (BPOB8),AR0868821510,BPOB8,Bopreal,2028-10-31,100.0,2,
