nombre,isin,codigo,categoria,coupon_pct,maturity,face,freq
Uruguay 8.50% 2028 (Global),USP80557BV53,UYU 28,Global,8.5,2028-03-15,100.0,2
Uruguay 10.50% 2029 (Global),UYNA00010UY0,UYU 29,Global,10.5,2029-02-01,100.0,2
Uruguay 8.25% 2031 (Global),US917288BM35,UYU 31,Global,8.25,2031-05-21,100.0,2
Uruguay 9.75% 2033 (Global),US760942BF85,UYU 33,Global,9.75,2033-07-20,100.0,2
Uruguay 8.00% 2035 (Global),US760942BJ08,UYU 35,Global,8.0,2035-10-29,100.0,2
Uruguay UI 4.25% 2027,US760942AU61,UI 2027,UI,4.25,2027-04-05,100.0,2
Uruguay UI 4.375% 2028,US917288BD36,UI 2028,UI,4.375,2028-12-15,100.0,2
Uruguay UI 4.00% 2030,USP80557AD64,UI 2030,UI,4.0,2030-07-10,100.0,2
Uruguay UI 3.70% 2037,US760942AV45,UI 2037,UI,3.7,2037-06-26,100.0,2
Uruguay UI 3.875% 2040,US917288BL51,UI 2040,UI,3.875,2040-07-02,100.0,2
Uruguay UI 3.40% 2045,US917288BP65,UI 2045,UI,3.4,2045-05-16,100.0,2
